continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
Asia,Masters,Y,N,500,2010,West,85000.0,Yearly,Y
